Date_Course,Reunion,Numero_Course,Hippodrome,Distance,Corde_Piste,Nature_Piste,Etat_Terrain,Penetrometre,Discipline,Num_PMU,Cheval,Age,Sexe,Place_Corde,Oeilleres,Proprietaire,Entraineur,Jockey,Inedit,Musique,Nb_Courses,Nb_Victoires,Nb_Places,Nb_Places_2e,Nb_Places_3e,Gains_Carriere,Gains_Victoires,Gains_Place,Gains_Annee_En_Cours,Gains_Annee_Precedente,Supplement,Poids,Allure,Cote_Direct,Classement,Cheval_Norm,Jockey_Norm,Entraineur_Norm,Hippodrome_Norm,Course_ID,Type_Hippodrome,Hippodrome_Canonique
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,1,AMAZING ANITA,2,FEMELLES,10,SANS_OEILLERES,D.I. & F.M. RUSSELL,JAMES FANSHAWE,KYLE STRYDOM,NON,7p,1,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,53,8.0,AMAZING ANITA,KYLE STRYDOM,JAMES FANSHAWE,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,2,CALLAHAN,2,FEMELLES,8,SANS_OEILLERES,J MELVILLE AND A MEHRAD,JAMES OWEN,CIEREN FALLON,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,10,3.0,CALLAHAN,CIEREN FALLON,JAMES OWEN,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,3,GHAADAH,2,FEMELLES,9,SANS_OEILLERES,MR MOHAMMED SULTAN,SIMON & ED CRISFORD,HARRY DAVIES,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,12,1.0,GHAADAH,HARRY DAVIES,SIMON & ED CRISFORD,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,4,LIKENESS,2,FEMELLES,5,SANS_OEILLERES,HIGHCLERE THOROUGHBRED - SYCAMOR,GEORGE BOUGHEY,BILLY LOUGHNANE,NON,3p3p,2,0,2,0,2,2917,0,2917,2917,0,0,58.0,GALOP,3,6.0,LIKENESS,BILLY LOUGHNANE,GEORGE BOUGHEY,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,5,LOVERS LEAP,2,FEMELLES,1,SANS_OEILLERES,MR P. W. HARRIS,JANE CHAPPLE-HYAM,DAVID EGAN,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,"3,6",4.0,LOVERS LEAP,DAVID EGAN,JANE CHAPPLE-HYAM,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,6,MOLO DEL PALAZZO,2,FEMELLES,3,SANS_OEILLERES,MR IMAD ALSAGAR,RALPH BECKETT,OISIN MURPHY,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,"6,7",5.0,MOLO DEL PALAZZO,OISIN MURPHY,RALPH BECKETT,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,7,PRANCY PEER,2,FEMELLES,7,SANS_OEILLERES,MR K. DOYLE,OLLIE SANGSTER,TREVOR WHELAN,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,21,7.0,PRANCY PEER,TREVOR WHELAN,OLLIE SANGSTER,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,8,SYDNEY ROCK,2,FEMELLES,2,SANS_OEILLERES,ARBIB BLOODSTOCK PARTNERSHIP,OLIVER COLE,CLIFFORD LEE,NON,2p,1,0,1,1,0,3042,0,3042,3042,0,0,58.0,GALOP,"7,2",2.0,SYDNEY ROCK,CLIFFORD LEE,OLIVER COLE,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,9,UNCERTAINTY,2,FEMELLES,6,SANS_OEILLERES,VINCENT CALDWELL,RICHARD HANNON,SEAN LEVEY,NON,3p0p2p,3,0,2,1,1,3904,0,3904,3904,0,0,58.0,GALOP,"3,8",,UNCERTAINTY,SEAN LEVEY,RICHARD HANNON,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
2025-09-02,R5,C2,WOLVERHAMPTON,1440,CORDE_GAUCHE,,,,PLAT,10,UNIVERSAL SUCCESS,2,FEMELLES,4,SANS_OEILLERES,MR ABDULLA AL MANSOORI,TOM CLOVER,LUKE MORRIS,NON,,0,0,0,0,0,0,0,0,0,0,0,58.0,GALOP,24,9.0,UNIVERSAL SUCCESS,LUKE MORRIS,TOM CLOVER,WOLVERHAMPTON,2025-09-02_WOLVERHAMPTON_C2,EXCLU,WOLVERHAMPTON
