Hippodrome,Surface,Distance_m,Mois_activite
SAINT-CLOUD,Gazon,800,mars-octobre
SAINT-CLOUD,Gazon,900,mars-octobre
SAINT-CLOUD,Gazon,1200,mars-octobre
SAINT-CLOUD,Gazon,1300,mars-octobre
SAINT-CLOUD,Gazon,1400,mars-octobre
SAINT-CLOUD,Gazon,1500,mars-octobre
SAINT-CLOUD,Gazon,1600,mars-octobre
SAINT-CLOUD,Gazon,2000,mars-octobre
SAINT-CLOUD,Gazon,2100,mars-octobre
SAINT-CLOUD,Gazon,2400,mars-octobre
SAINT-CLOUD,Gazon,2500,mars-octobre
SAINT-CLOUD,Gazon,2800,mars-octobre
SAINT-CLOUD,Gazon,2900,mars-octobre
SAINT-CLOUD,Gazon,3000,mars-octobre
SAINT-CLOUD,Gazon,3100,mars-octobre
LYON-PARILLY,Gazon,900,avril-octobre
LYON-PARILLY,Gazon,1000,avril-octobre
LYON-PARILLY,Gazon,1200,avril-octobre
LYON-PARILLY,Gazon,1350,avril-octobre
LYON-PARILLY,Gazon,1600,avril-octobre
LYON-PARILLY,Gazon,2000,avril-octobre
LYON-PARILLY,Gazon,2200,avril-octobre
LYON-PARILLY,Gazon,2400,avril-octobre
LYON-PARILLY,Gazon,2600,avril-octobre
LYON-PARILLY,Gazon,2800,avril-octobre
LYON-PARILLY,Gazon,3150,avril-octobre
LYON-PARILLY,Gazon,3400,avril-octobre
LA CEPIERE,Gazon,1000,avril-octobre
LA CEPIERE,Gazon,1200,avril-octobre
LA CEPIERE,Gazon,1400,avril-octobre
LA CEPIERE,Gazon,1600,avril-octobre
LA CEPIERE,Gazon,1800,avril-octobre
LA CEPIERE,Gazon,2000,avril-octobre
LA CEPIERE,Gazon,2200,avril-octobre
LA CEPIERE,Gazon,2400,avril-octobre
ParisLongchamp,Gazon,1000,mars-octobre
ParisLongchamp,Gazon,1300,mars-octobre
ParisLongchamp,Gazon,1400,mars-octobre
ParisLongchamp,Gazon,1500,mars-octobre
ParisLongchamp,Gazon,1600,mars-octobre
ParisLongchamp,Gazon,1700,mars-octobre
ParisLongchamp,Gazon,1800,mars-octobre
ParisLongchamp,Gazon,1850,mars-octobre
ParisLongchamp,Gazon,1900,mars-octobre
ParisLongchamp,Gazon,1950,mars-octobre
ParisLongchamp,Gazon,2000,mars-octobre
ParisLongchamp,Gazon,2100,mars-octobre
ParisLongchamp,Gazon,2150,mars-octobre
ParisLongchamp,Gazon,2200,mars-octobre
ParisLongchamp,Gazon,2250,mars-octobre
ParisLongchamp,Gazon,2300,mars-octobre
ParisLongchamp,Gazon,2400,mars-octobre
ParisLongchamp,Gazon,2500,mars-octobre
ParisLongchamp,Gazon,2600,mars-octobre
ParisLongchamp,Gazon,2700,mars-octobre
ParisLongchamp,Gazon,2800,mars-octobre
ParisLongchamp,Gazon,3000,mars-octobre
ParisLongchamp,Gazon,3100,mars-octobre
ParisLongchamp,Gazon,3200,mars-octobre
ParisLongchamp,Gazon,3400,mars-octobre
ParisLongchamp,Gazon,3500,mars-octobre
ParisLongchamp,Gazon,3700,mars-octobre
ParisLongchamp,Gazon,3800,mars-octobre
ParisLongchamp,Gazon,4000,mars-octobre
BORELY,Gazon,950,avril-octobre
BORELY,Gazon,1000,avril-octobre
BORELY,Gazon,1200,avril-octobre
BORELY,Gazon,1600,avril-octobre
BORELY,Gazon,1800,avril-octobre
BORELY,Gazon,2000,avril-octobre
BORELY,Gazon,2100,avril-octobre
BORELY,Gazon,2600,avril-octobre
BORELY,PSF,950,novembre-mars
BORELY,PSF,1300,novembre-mars
BORELY,PSF,1500,novembre-mars
BORELY,PSF,2000,novembre-mars
BORELY,PSF,2600,novembre-mars
CHANTILLY,Gazon,800,mars-novembre
CHANTILLY,Gazon,1000,mars-novembre
CHANTILLY,Gazon,1100,mars-novembre
CHANTILLY,Gazon,1200,mars-novembre
CHANTILLY,Gazon,1400,mars-novembre
CHANTILLY,Gazon,1600,mars-novembre
CHANTILLY,Gazon,1800,mars-novembre
CHANTILLY,Gazon,2000,mars-novembre
CHANTILLY,Gazon,2100,mars-novembre
CHANTILLY,Gazon,2200,mars-novembre
CHANTILLY,Gazon,2400,mars-novembre
CHANTILLY,Gazon,3000,mars-novembre
CHANTILLY,Gazon,3600,mars-novembre
CHANTILLY,Gazon,4100,mars-novembre
CHANTILLY,Gazon,4800,mars-novembre
CHANTILLY,PSF,1200,novembre-mars
CHANTILLY,PSF,1300,novembre-mars
CHANTILLY,PSF,1400,novembre-mars
CHANTILLY,PSF,1500,novembre-mars
CHANTILLY,PSF,1600,novembre-mars
CHANTILLY,PSF,1700,novembre-mars
CHANTILLY,PSF,1800,novembre-mars
CHANTILLY,PSF,1900,novembre-mars
CHANTILLY,PSF,2100,novembre-mars
CHANTILLY,PSF,2600,novembre-mars
CHANTILLY,PSF,2700,novembre-mars
CHANTILLY,PSF,2800,novembre-mars
CHANTILLY,PSF,2900,novembre-mars
CHANTILLY,PSF,3000,novembre-mars
